comic_id,comic_url
explosm_5,https://explosm.net/comics/31699
explosm_6,https://explosm.net/comics/cheating-2
explosm_8,https://explosm.net/comics/hitlers-mom
explosm_9,https://explosm.net/comics/family-size-oreos
explosm_17,https://explosm.net/comics/hairy
explosm_24,https://explosm.net/comics/skydive
explosm_36,https://explosm.net/comics/rule
explosm_38,https://explosm.net/comics/police-sketch
explosm_61,https://explosm.net/comics/fired
explosm_67,https://explosm.net/comics/stealing-my-stuff
explosm_74,https://explosm.net/comics/ripped
explosm_114,https://explosm.net/comics/holding-it-for-someone
explosm_127,https://explosm.net/comics/eyes-up-here-round-2
explosm_136,https://explosm.net/comics/swingers
explosm_138,https://explosm.net/comics/pirate-execution
explosm_152,https://explosm.net/comics/weightlifting
explosm_175,https://explosm.net/comics/take-a-knee
explosm_180,https://explosm.net/comics/your-shower
explosm_210,https://explosm.net/comics/transplant
explosm_255,https://explosm.net/comics/new-computer
explosm_259,https://explosm.net/comics/hide-and-seek
explosm_272,https://explosm.net/comics/rule-number-1
explosm_322,https://explosm.net/comics/grandpas-grave
explosm_326,https://explosm.net/comics/register
explosm_333,https://explosm.net/comics/baby-hitler
explosm_361,https://explosm.net/comics/block
explosm_396,https://explosm.net/comics/wheres-frank
explosm_401,https://explosm.net/comics/personal-hell
explosm_417,https://explosm.net/comics/doctor-on-the-plane
explosm_429,https://explosm.net/comics/phone-bathroom
explosm_448,https://explosm.net/comics/freddy
explosm_450,https://explosm.net/comics/leaves
explosm_458,https://explosm.net/comics/bang
explosm_468,https://explosm.net/comics/ai-girlfriend
explosm_482,https://explosm.net/comics/sperm-bank-2
explosm_540,https://explosm.net/comics/29915
explosm_556,https://explosm.net/comics/honka-honka
explosm_566,https://explosm.net/comics/thumbnail
explosm_580,https://explosm.net/comics/floor
explosm_584,https://explosm.net/comics/terminally-online
explosm_619,https://explosm.net/comics/pocket-watch
explosm_625,https://explosm.net/comics/the-future
explosm_629,https://explosm.net/comics/inappropriate
explosm_639,https://explosm.net/comics/year
explosm_644,https://explosm.net/comics/30292
explosm_669,https://explosm.net/comics/pills-2
explosm_691,https://explosm.net/comics/smooth
explosm_698,https://explosm.net/comics/top-or-bottom
explosm_727,https://explosm.net/comics/problematic
explosm_728,https://explosm.net/comics/sheriff
explosm_752,https://explosm.net/comics/new-guy
explosm_761,https://explosm.net/comics/melons
explosm_762,https://explosm.net/comics/final-meal
explosm_779,https://explosm.net/comics/rome
explosm_781,https://explosm.net/comics/horny-jail
explosm_783,https://explosm.net/comics/honk
explosm_796,https://explosm.net/comics/lunch
explosm_826,https://explosm.net/comics/kris-burned
explosm_845,https://explosm.net/comics/rob-a-duck
explosm_846,https://explosm.net/comics/dave-cosby
explosm_881,https://explosm.net/comics/rob-headphones-2
explosm_897,https://explosm.net/comics/dave-decaf
explosm_908,https://explosm.net/comics/rob-fluids
explosm_969,https://explosm.net/comics/dave-sortofadoctor
explosm_1003,https://explosm.net/comics/kris-blow
explosm_1062,https://explosm.net/comics/dave-kingsize
explosm_1080,https://explosm.net/comics/dave-shitweek
explosm_1102,https://explosm.net/comics/kris-weight
explosm_1121,https://explosm.net/comics/lotion-guy
explosm_1135,https://explosm.net/comics/rob-food
explosm_1137,https://explosm.net/comics/kris-arm
explosm_1149,https://explosm.net/comics/rob-assonfire
explosm_1150,https://explosm.net/comics/kris-opinion
explosm_1156,https://explosm.net/comics/rob-orgy
explosm_1158,https://explosm.net/comics/kris-thingilike
explosm_1165,https://explosm.net/comics/rob-psychic
explosm_1184,https://explosm.net/comics/dave-lovingthesenewspaperheadlines
explosm_1199,https://explosm.net/comics/dave-deadman
explosm_1210,https://explosm.net/comics/dave-bighandlittlehand
explosm_1219,https://explosm.net/comics/rob-my-cat
